1, 10 
2, 11 
1, 21 
2, 22 
1, 32 
2, 33 
1, 43 
2, 44 
1, 54 
2, 55 
1, 65 
2, 66 
1, 76 
2, 77 
1, 87 
2, 88 
1, 98 
2, 99 
1, 109 
2, 1010 
1, 1110 
2, 1111 
1, 1211 
2, 1212 
1, 1312 
1, 00 
1, 10 
1, 10 
2, 00 
1, 10 
2, 11 
1, 21 
2, 22 
1, 32 
2, 33 
1, 43 
2, 44 
1, 54 
2, 55 
1, 65 
1, 00 
2, 00 
1, 10 
2, 11 
1, 21 
2, 22 
1, 32 
2, 33 
1, 43 
2, 44 
1, 54 
2, 55 
1, 65 
2, 66 
1, 76 
2, 77 
1, 87 
2, 88 
1, 98 
2, 99 
1, 109 
2, 1010 
1, 1110 
2, 1111 
1, 1211 
2, 1212 
1, 1312 
2, 1313 
1, 1413 
2, 1414 
1, 1514 
2, 1515 
1, 1615 
2, 1616 
1, 1716 
2, 1717 
1, 1817 
2, 1818 
1, 1918 
2, 1919 
1, 2019 
2, 2020 
1, 2120 
2, 2121 
1, 2221 
2, 2222 
1, 2322 
2, 2323 
1, 2423 
2, 2424 
1, 2524 
2, 2525 
1, 2625 
2, 2626 
1, 2726 
2, 2727 
1, 2827 
2, 2828 
1, 2928 
2, 2929 
1, 3029 
2, 3030 
1, 3130 
2, 3131 
1, 00 
1, 00 
1, 10 
1, 21 
1, 32 
1, 43 
1, 54 
1, 65 
1, 76 
1, 87 
1, 98 
2, 00 
2, 01 
2, 01 
2, 01 
2, 01 
2, 01 
2, 01 
2, 01 
2, 01 
2, 01 
2, 01 
2, 01 
2, 01 
2, 01 
2, 00 
1, 00 
2, 01 
1, 11 
2, 12 
1, 22 
2, 23 
1, 33 
2, 34 
1, 44 
